127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.008001
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.011999
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004003
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003985
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003999
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003999
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004003
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003998
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004007
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.012001
127.0.0.1, 2019-06-17 02:34:59, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.003999
127.0.0.1, 2019-06-17 02:35:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:35:05, POST, /admin/default/index, HTTP/1.1, 200, 1.152022
127.0.0.1, 2019-06-17 02:35:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:35:21, POST, /admin/default/index, HTTP/1.1, 200, 2.099999
127.0.0.1, 2019-06-17 02:35:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:35:26, POST, /admin/default/index, HTTP/1.1, 303, 0.064000
127.0.0.1, 2019-06-17 02:35:26, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-34-56.b57ab555-2f99-4184-a437-7de322dd6e0f, HTTP/1.1, 200, 0.192000
127.0.0.1, 2019-06-17 02:35:27, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:35:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:38:32, GET, /, HTTP/1.1, 303, 0.016012
127.0.0.1, 2019-06-17 02:38:34, GET, /welcome/default/index, HTTP/1.1, 200, 1.319981
127.0.0.1, 2019-06-17 02:38:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-06-17 02:38:45, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.808000
127.0.0.1, 2019-06-17 02:38:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
